data size:8×8 process number:2
27923848078.00	0.162s
27923848078.00	0.104s
27923848078.00	0.087s
27923848078.00	0.084s
27923848078.00	0.079s
27923848078.00	0.078s
27923848078.00	0.079s
27923848078.00	0.077s
27923848078.00	0.083s
data size:13×13 process number:5
27923848078.00	0.117s
27923848078.00	0.075s
27923848078.00	0.060s
27923848078.00	0.057s
27923848078.00	0.050s
27923848078.00	0.048s
27923848078.00	0.048s
27923848078.00	0.048s
27923848078.00	0.048s
27923848078.00	0.047s
data size:13×13 process number:9
27923848078.00	0.061s
27923848078.00	0.059s
27923848078.00	0.043s
27923848078.00	0.043s
27923848078.00	0.035s
27923848078.00	0.036s
27923848078.00	0.035s
27923848078.00	0.043s
27923848078.00	0.044s
27923848078.00	0.035s
data size:14×14 process number:2
25229228338.00	0.404s
25229228338.00	0.421s
25229228338.00	0.348s
25229228338.00	0.327s
25229228338.00	0.322s
25229228338.00	0.317s
25229228338.00	0.416s
25229228338.00	0.375s
25229228338.00	0.364s
25229228338.00	0.369s
data size:14×14 process number:3
25229228338.00	0.276s
25229228338.00	0.187s
25229228338.00	0.282s
25229228338.00	0.166s
25229228338.00	0.168s
25229228338.00	0.235s
25229228338.00	0.169s
25229228338.00	0.245s
25229228338.00	0.182s
25229228338.00	0.188s
data size:14×14 process number:5
25229228338.00	0.186s
25229228338.00	0.105s
25229228338.00	0.093s
25229228338.00	0.093s
25229228338.00	0.096s
25229228338.00	0.098s
25229228338.00	0.093s
25229228338.00	0.095s
25229228338.00	0.097s
25229228338.00	0.092s
data size:14×14 process number:9
25229228338.00	0.121s
25229228338.00	0.095s
25229228338.00	0.088s
25229228338.00	0.092s
25229228338.00	0.095s
25229228338.00	0.088s
25229228338.00	0.094s
25229228338.00	0.086s
25229228338.00	0.092s
25229228338.00	0.086s
data size:15×15 process number:2
-2837812974084.00	0.761s
-2837812974084.00	0.802s
-2837812974084.00	0.867s
-2837812974084.00	0.859s
-2837812974084.00	0.850s
-2837812974084.00	0.761s
-2837812974084.00	0.749s
-2837812974084.00	0.778s
-2837812974084.00	0.854s
-2837812974084.00	0.813s
data size:15×15 process number:3
-2837812974084.00	0.401s
-2837812974084.00	0.408s
-2837812974084.00	0.419s
-2837812974084.00	0.407s
-2837812974084.00	0.422s
-2837812974084.00	0.407s
-2837812974084.00	0.407s
-2837812974084.00	0.406s
-2837812974084.00	0.408s
-2837812974084.00	0.427s
data size:15×15 process number:5
-2837812974084.00	0.307s
-2837812974084.00	0.213s
-2837812974084.00	0.202s
-2837812974084.00	0.213s
-2837812974084.00	0.204s
-2837812974084.00	0.212s
-2837812974084.00	0.203s
-2837812974084.00	0.213s
-2837812974084.00	0.206s
-2837812974084.00	0.206s
data size:15×15 process number:9
-2837812974084.00	0.204s
-2837812974084.00	0.211s
-2837812974084.00	0.208s
-2837812974084.00	0.213s
-2837812974084.00	0.203s
-2837812974084.00	0.209s
-2837812974084.00	0.203s
-2837812974084.00	0.207s
-2837812974084.00	0.203s
-2837812974084.00	0.202s
data size:16×16 process number:2
-102778136814477.00	1.897s
-102778136814477.00	1.856s
-102778136814477.00	1.862s
-102778136814477.00	1.865s
-102778136814477.00	1.862s
-102778136814477.00	1.929s
-102778136814477.00	1.896s
-102778136814477.00	1.880s
-102778136814477.00	1.828s
-102778136814477.00	1.979s
data size:16×16 process number:3
-102778136814477.00	1.012s
-102778136814477.00	0.951s
-102778136814477.00	0.998s
-102778136814477.00	0.965s
-102778136814477.00	0.977s
-102778136814477.00	0.982s
-102778136814477.00	0.974s
-102778136814477.00	0.997s
-102778136814477.00	1.002s
-102778136814477.00	1.015s
data size:16×16 process number:5
-102778136814477.00	0.574s
-102778136814477.00	0.487s
-102778136814477.00	0.496s
-102778136814477.00	0.482s
-102778136814477.00	0.477s
-102778136814477.00	0.479s
-102778136814477.00	0.478s
-102778136814477.00	0.484s
-102778136814477.00	0.486s
-102778136814477.00	0.481s
data size:16×16 process number:9
-102778136814477.00	0.503s
-102778136814477.00	0.499s
-102778136814477.00	0.511s
-102778136814477.00	0.505s
-102778136814477.00	0.497s
-102778136814477.00	0.501s
-102778136814477.00	0.503s
-102778136814477.00	0.515s
-102778136814477.00	0.513s
-102778136814477.00	0.512s
data size:17×17 process number:2
-1206893659208974.00	4.574s
-1206893659208974.00	4.474s
-1206893659208974.00	4.485s
-1206893659208974.00	4.429s
-1206893659208974.00	4.644s
-1206893659208974.00	4.750s
-1206893659208974.00	4.449s
-1206893659208974.00	4.632s
-1206893659208974.00	4.550s
-1206893659208974.00	4.778s
data size:17×17 process number:3
-1206893659208974.00	2.499s
-1206893659208974.00	2.537s
-1206893659208974.00	2.519s
-1206893659208974.00	2.516s
-1206893659208974.00	2.415s
-1206893659208974.00	2.320s
-1206893659208974.00	2.608s
-1206893659208974.00	2.360s
-1206893659208974.00	2.422s
-1206893659208974.00	2.579s
data size:17×17 process number:5
-1206893659208974.00	1.446s
-1206893659208974.00	1.393s
-1206893659208974.00	1.402s
-1206893659208974.00	1.397s
-1206893659208974.00	1.394s
-1206893659208974.00	1.411s
-1206893659208974.00	1.401s
-1206893659208974.00	1.408s
-1206893659208974.00	1.394s
-1206893659208974.00	1.394s
data size:17×17 process number:9
-1206893659208974.00	1.617s
-1206893659208974.00	1.581s
-1206893659208974.00	1.608s
-1206893659208974.00	1.570s
-1206893659208974.00	1.576s
-1206893659208974.00	1.599s
-1206893659208974.00	1.577s
-1206893659208974.00	1.606s
-1206893659208974.00	1.585s
-1206893659208974.00	1.598s
data size:18×18 process number:2
18628712403413104.00	10.896s
18628712403413104.00	11.117s
18628712403413104.00	11.350s
18628712403413104.00	11.246s
18628712403413104.00	11.922s
18628712403413104.00	11.743s
18628712403413104.00	11.248s
18628712403413104.00	11.180s
18628712403413104.00	11.232s
18628712403413104.00	11.171s
data size:18×18 process number:3
18628712403413104.00	6.079s
18628712403413104.00	5.923s
18628712403413104.00	5.944s
18628712403413104.00	5.907s
18628712403413104.00	5.943s
18628712403413104.00	5.820s
18628712403413104.00	5.942s
18628712403413104.00	5.535s
18628712403413104.00	5.536s
18628712403413104.00	6.140s
data size:18×18 process number:5
18628712403413104.00	3.304s
18628712403413104.00	3.258s
18628712403413104.00	3.244s
18628712403413104.00	3.166s
18628712403413104.00	3.266s
18628712403413104.00	3.224s
18628712403413104.00	3.192s
18628712403413104.00	3.315s
18628712403413104.00	3.239s
18628712403413104.00	3.240s
data size:18×18 process number:9
18628712403413104.00	3.718s
18628712403413104.00	3.805s
18628712403413104.00	3.716s
18628712403413104.00	3.711s
18628712403413104.00	3.707s
18628712403413104.00	3.725s
18628712403413104.00	3.867s
18628712403413104.00	3.701s
18628712403413104.00	3.752s
18628712403413104.00	3.715s
data size:19×19 process number:2
-6723868775785900.00	26.299s
-6723868775785900.00	24.939s
-6723868775785900.00	26.808s
-6723868775785900.00	26.540s
-6723868775785900.00	25.285s
-6723868775785900.00	24.475s
-6723868775785900.00	27.425s
-6723868775785900.00	26.851s
-6723868775785900.00	24.439s
-6723868775785900.00	26.921s
data size:19×19 process number:3
-6723868775785900.00	14.548s
-6723868775785900.00	14.369s
-6723868775785900.00	14.044s
-6723868775785900.00	13.895s
-6723868775785900.00	14.321s
-6723868775785900.00	14.383s
-6723868775785900.00	14.372s
-6723868775785900.00	14.380s
-6723868775785900.00	14.856s
-6723868775785900.00	14.818s
data size:19×19 process number:5
-6723868775785900.00	7.337s
-6723868775785900.00	7.291s
-6723868775785900.00	7.391s
-6723868775785900.00	7.334s
-6723868775785900.00	7.433s
-6723868775785900.00	7.432s
-6723868775785900.00	7.482s
-6723868775785900.00	7.278s
-6723868775785900.00	7.272s
-6723868775785900.00	7.365s
data size:19×19 process number:9
-6723868775785900.00	4.693s
-6723868775785900.00	4.630s
-6723868775785900.00	4.554s
-6723868775785900.00	4.525s
-6723868775785900.00	4.634s
-6723868775785900.00	4.624s
-6723868775785900.00	4.649s
-6723868775785900.00	4.572s
-6723868775785900.00	4.539s
-6723868775785900.00	4.586s
